home_team_name,home_team_name,away_team_name,home_team_goal,away_team_goal,league_name
Sunderland, Sunderland, West Ham United, 2, 2, England Premier League
Swansea City, Swansea City, Tottenham Hotspur, 2, 2, England Premier League
Chelsea, Chelsea, Aston Villa, 2, 0, England Premier League
Crystal Palace, Crystal Palace, West Ham United, 1, 3, England Premier League
Everton, Everton, Manchester United, 0, 3, England Premier League
Manchester City, Manchester City, Bournemouth, 5, 1, England Premier League
Newcastle United, Newcastle United, Norwich City, 6, 2, England Premier League
Southampton, Southampton, Leicester City, 2, 2, England Premier League
Swansea City, Swansea City, Stoke City, 0, 1, England Premier League
Tottenham Hotspur, Tottenham Hotspur, Liverpool, 0, 0, England Premier League
Watford, Watford, Arsenal, 0, 3, England Premier League
West Bromwich Albion, West Bromwich Albion, Sunderland, 1, 0, England Premier League
AJ Auxerre, AJ Auxerre, FC Nantes, 2, 1, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, SM Caen, 2, 1, France Ligue 1
Le Havre AC, Le Havre AC, OGC Nice, 1, 0, France Ligue 1
Le Mans FC, Le Mans FC, FC Lorient, 0, 1, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Toulouse FC, 3, 0, France Ligue 1
AS Monaco, AS Monaco, Paris Saint-Germain, 1, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, LOSC Lille, 0, 0, France Ligue 1
Stade Rennais FC, Stade Rennais FC, Olympique de Marseille, 4, 4, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Grenoble Foot 38, 1, 2, France Ligue 1
Valenciennes FC, Valenciennes FC, AS Saint-Étienne, 1, 0, France Ligue 1
AJ Auxerre, AJ Auxerre, Olympique Lyonnais, 0, 0, France Ligue 1
Le Havre AC, Le Havre AC, Valenciennes FC, 2, 1, France Ligue 1
LOSC Lille, LOSC Lille, SM Caen, 2, 2, France Ligue 1
FC Lorient, FC Lorient, FC Nantes, 3, 0, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Paris Saint-Germain, 2, 4, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, FC Sochaux-Montbéliard, 1, 1, France Ligue 1
OGC Nice, OGC Nice, Girondins de Bordeaux, 2, 2, France Ligue 1
Stade Rennais FC, Stade Rennais FC, Le Mans FC, 2, 2, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, Grenoble Foot 38, 0, 2, France Ligue 1
Toulouse FC, Toulouse FC, AS Monaco, 0, 0, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, Le Havre AC, 4, 0, France Ligue 1
SM Caen, SM Caen, OGC Nice, 1, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, LOSC Lille, 0, 0, France Ligue 1
Le Mans FC, Le Mans FC, AJ Auxerre, 0, 2, France Ligue 1
AS Monaco, AS Monaco, AS Nancy-Lorraine, 3, 1, France Ligue 1
FC Nantes, FC Nantes, Olympique de Marseille, 1, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, Toulouse FC, 0, 1, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, FC Lorient, 1, 4, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Olympique Lyonnais, 0, 2, France Ligue 1
Valenciennes FC, Valenciennes FC, Stade Rennais FC, 0, 0, France Ligue 1
AJ Auxerre, AJ Auxerre, Valenciennes FC, 0, 0, France Ligue 1
Le Havre AC, Le Havre AC, AS Monaco, 2, 3, France Ligue 1
LOSC Lille, LOSC Lille, FC Nantes, 2, 0, France Ligue 1
FC Lorient, FC Lorient, Grenoble Foot 38, 1, 1, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Le Mans FC, 2, 0, France Ligue 1
Olympique de Marseille, Olympique de Marseille, AS Saint-Étienne, 3, 1, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, Girondins de Bordeaux, 1, 0, France Ligue 1
OGC Nice, OGC Nice, Paris Saint-Germain, 1, 0, France Ligue 1
Stade Rennais FC, Stade Rennais FC, FC Sochaux-Montbéliard, 1, 0, France Ligue 1
Toulouse FC, Toulouse FC, SM Caen, 0, 1, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, AJ Auxerre, 2, 0, France Ligue 1
SM Caen, SM Caen, Le Havre AC, 0, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, Olympique de Marseille, 0, 3, France Ligue 1
FC Lorient, FC Lorient, OGC Nice, 0, 1, France Ligue 1
AS Monaco, AS Monaco, Olympique Lyonnais, 0, 1, France Ligue 1
FC Nantes, FC Nantes, Toulouse FC, 1, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, LOSC Lille, 1, 0, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, Stade Rennais FC, 0, 3, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Le Mans FC, 2, 1, France Ligue 1
Valenciennes FC, Valenciennes FC, AS Nancy-Lorraine, 0, 1, France Ligue 1
AJ Auxerre, AJ Auxerre, FC Sochaux-Montbéliard, 1, 0, France Ligue 1
Le Havre AC, Le Havre AC, Paris Saint-Germain, 1, 3, France Ligue 1
Le Mans FC, Le Mans FC, Valenciennes FC, 1, 0, France Ligue 1
LOSC Lille, LOSC Lille, AS Saint-Étienne, 3, 0, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Girondins de Bordeaux, 2, 1, France Ligue 1
Olympique de Marseille, Olympique de Marseille, FC Lorient, 2, 3, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, SM Caen, 1, 1, France Ligue 1
OGC Nice, OGC Nice, FC Nantes, 2, 1, France Ligue 1
Stade Rennais FC, Stade Rennais FC, AS Monaco, 2, 1, France Ligue 1
Toulouse FC, Toulouse FC, Grenoble Foot 38, 2, 0, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, Stade Rennais FC, 1, 1, France Ligue 1
SM Caen, SM Caen, AJ Auxerre, 1, 0, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, Le Havre AC, 0, 0, France Ligue 1
FC Lorient, FC Lorient, Toulouse FC, 1, 0, France Ligue 1
Olympique de Marseille, Olympique de Marseille, LOSC Lille, 2, 2, France Ligue 1
AS Monaco, AS Monaco, Le Mans FC, 3, 0, France Ligue 1
FC Nantes, FC Nantes, AS Nancy-Lorraine, 0, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, Olympique Lyonnais, 1, 0, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, OGC Nice, 0, 1, France Ligue 1
Valenciennes FC, Valenciennes FC, FC Sochaux-Montbéliard, 2, 2, France Ligue 1
AJ Auxerre, AJ Auxerre, AS Monaco, 0, 1, France Ligue 1
Le Havre AC, Le Havre AC, FC Nantes, 0, 2, France Ligue 1
Le Mans FC, Le Mans FC, SM Caen, 2, 0, France Ligue 1
LOSC Lille, LOSC Lille, FC Lorient, 1, 1, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Valenciennes FC, 0, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, AS Saint-Étienne, 1, 2, France Ligue 1
OGC Nice, OGC Nice, Grenoble Foot 38, 0, 0, France Ligue 1
Stade Rennais FC, Stade Rennais FC, Paris Saint-Germain, 1, 0, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Girondins de Bordeaux, 0, 0, France Ligue 1
Toulouse FC, Toulouse FC, Olympique de Marseille, 0, 0, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, Valenciennes FC, 2, 1, France Ligue 1
SM Caen, SM Caen, Stade Rennais FC, 1, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, AJ Auxerre, 0, 0, France Ligue 1
LOSC Lille, LOSC Lille, Toulouse FC, 1, 1, France Ligue 1
FC Lorient, FC Lorient, AS Nancy-Lorraine, 1, 0, France Ligue 1
Olympique de Marseille, Olympique de Marseille, OGC Nice, 2, 1, France Ligue 1
AS Monaco, AS Monaco, FC Sochaux-Montbéliard, 1, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, Le Mans FC, 3, 1, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, Le Havre AC, 2, 0, France Ligue 1
FC Nantes, FC Nantes, Olympique Lyonnais, 2, 1, France Ligue 1
AJ Auxerre, AJ Auxerre, Paris Saint-Germain, 1, 2, France Ligue 1
Le Havre AC, Le Havre AC, FC Lorient, 1, 3, France Ligue 1
Le Mans FC, Le Mans FC, Girondins de Bordeaux, 1, 3, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Olympique de Marseille, 0, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, Grenoble Foot 38, 2, 0, France Ligue 1
OGC Nice, OGC Nice, LOSC Lille, 0, 1, France Ligue 1
Stade Rennais FC, Stade Rennais FC, FC Nantes, 0, 0, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, SM Caen, 2, 2, France Ligue 1
Toulouse FC, Toulouse FC, AS Saint-Étienne, 3, 1, France Ligue 1
Valenciennes FC, Valenciennes FC, AS Monaco, 3, 1, France Ligue 1
SM Caen, SM Caen, Olympique Lyonnais, 0, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, Le Mans FC, 2, 1, France Ligue 1
LOSC Lille, LOSC Lille, Le Havre AC, 3, 1, France Ligue 1
FC Lorient, FC Lorient, Stade Rennais FC, 1, 2, France Ligue 1
Olympique de Marseille, Olympique de Marseille, AS Nancy-Lorraine, 0, 3, France Ligue 1
AS Monaco, AS Monaco, Girondins de Bordeaux, 3, 4, France Ligue 1
FC Nantes, FC Nantes, FC Sochaux-Montbéliard, 1, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, Valenciennes FC, 2, 2, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, AJ Auxerre, 2, 0, France Ligue 1
Toulouse FC, Toulouse FC, OGC Nice, 2, 2, France Ligue 1
SM Caen, SM Caen, Valenciennes FC, 3, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, Stade Rennais FC, 1, 0, France Ligue 1
LOSC Lille, LOSC Lille, Le Mans FC, 1, 3, France Ligue 1
FC Lorient, FC Lorient, Olympique Lyonnais, 0, 0, France Ligue 1
Olympique de Marseille, Olympique de Marseille, AJ Auxerre, 4, 0, France Ligue 1
FC Nantes, FC Nantes, AS Monaco, 1, 1, France Ligue 1
OGC Nice, OGC Nice, AS Nancy-Lorraine, 2, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, Girondins de Bordeaux, 1, 0, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, FC Sochaux-Montbéliard, 2, 1, France Ligue 1
Toulouse FC, Toulouse FC, Le Havre AC, 2, 1, France Ligue 1
AJ Auxerre, AJ Auxerre, Olympique de Marseille, 0, 2, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, Paris Saint-Germain, 4, 0, France Ligue 1
Le Havre AC, Le Havre AC, Toulouse FC, 0, 1, France Ligue 1
Le Mans FC, Le Mans FC, LOSC Lille, 0, 0, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, FC Lorient, 1, 1, France Ligue 1
AS Monaco, AS Monaco, FC Nantes, 1, 2, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, OGC Nice, 1, 2, France Ligue 1
Stade Rennais FC, Stade Rennais FC, Grenoble Foot 38, 1, 0, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, AS Saint-Étienne, 1, 0, France Ligue 1
Valenciennes FC, Valenciennes FC, SM Caen, 2, 0, France Ligue 1
SM Caen, SM Caen, AS Monaco, 2, 2, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, Olympique Lyonnais, 0, 2, France Ligue 1
LOSC Lille, LOSC Lille, Stade Rennais FC, 1, 0, France Ligue 1
FC Lorient, FC Lorient, Valenciennes FC, 1, 1, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Le Havre AC, 2, 0, France Ligue 1
FC Nantes, FC Nantes, Girondins de Bordeaux, 1, 2, France Ligue 1
OGC Nice, OGC Nice, AJ Auxerre, 2, 0, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, FC Sochaux-Montbéliard, 2, 1, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, Le Mans FC, 1, 1, France Ligue 1
Toulouse FC, Toulouse FC, AS Nancy-Lorraine, 3, 0, France Ligue 1
AJ Auxerre, AJ Auxerre, FC Lorient, 0, 0, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, LOSC Lille, 2, 2, France Ligue 1
Le Havre AC, Le Havre AC, AS Nancy-Lorraine, 2, 3, France Ligue 1
Le Mans FC, Le Mans FC, FC Nantes, 0, 2, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, AS Saint-Étienne, 1, 1, France Ligue 1
AS Monaco, AS Monaco, Grenoble Foot 38, 1, 0, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, SM Caen, 2, 0, France Ligue 1
Stade Rennais FC, Stade Rennais FC, Toulouse FC, 0, 0, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Olympique de Marseille, 1, 0, France Ligue 1
Valenciennes FC, Valenciennes FC, OGC Nice, 1, 0, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, Valenciennes FC, 0, 0, France Ligue 1
Le Havre AC, Le Havre AC, Stade Rennais FC, 1, 0, France Ligue 1
LOSC Lille, LOSC Lille, FC Sochaux-Montbéliard, 3, 2, France Ligue 1
FC Lorient, FC Lorient, AS Monaco, 1, 1, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Girondins de Bordeaux, 1, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, AJ Auxerre, 0, 2, France Ligue 1
FC Nantes, FC Nantes, Paris Saint-Germain, 1, 4, France Ligue 1
OGC Nice, OGC Nice, Olympique Lyonnais, 1, 3, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, SM Caen, 3, 2, France Ligue 1
Toulouse FC, Toulouse FC, Le Mans FC, 2, 0, France Ligue 1
AJ Auxerre, AJ Auxerre, LOSC Lille, 2, 0, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, Grenoble Foot 38, 1, 1, France Ligue 1
SM Caen, SM Caen, FC Lorient, 1, 1, France Ligue 1
Le Mans FC, Le Mans FC, OGC Nice, 1, 2, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Le Havre AC, 3, 1, France Ligue 1
AS Monaco, AS Monaco, Olympique de Marseille, 0, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, AS Saint-Étienne, 2, 1, France Ligue 1
Stade Rennais FC, Stade Rennais FC, AS Nancy-Lorraine, 1, 1, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Toulouse FC, 1, 2, France Ligue 1
Valenciennes FC, Valenciennes FC, FC Nantes, 1, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, Paris Saint-Germain, 0, 0, France Ligue 1
Le Havre AC, Le Havre AC, AJ Auxerre, 1, 2, France Ligue 1
LOSC Lille, LOSC Lille, AS Monaco, 2, 1, France Ligue 1
FC Lorient, FC Lorient, FC Sochaux-Montbéliard, 1, 2, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Le Mans FC, 0, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, Olympique Lyonnais, 0, 2, France Ligue 1
FC Nantes, FC Nantes, SM Caen, 1, 1, France Ligue 1
OGC Nice, OGC Nice, Stade Rennais FC, 0, 1, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, Girondins de Bordeaux, 1, 1, France Ligue 1
Toulouse FC, Toulouse FC, Valenciennes FC, 0, 0, France Ligue 1
AJ Auxerre, AJ Auxerre, Toulouse FC, 1, 1, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, FC Lorient, 1, 0, France Ligue 1
SM Caen, SM Caen, Olympique de Marseille, 0, 1, France Ligue 1
Le Mans FC, Le Mans FC, Le Havre AC, 2, 0, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Stade Rennais FC, 1, 1, France Ligue 1
AS Monaco, AS Monaco, AS Saint-Étienne, 2, 2, France Ligue 1
FC Nantes, FC Nantes, Grenoble Foot 38, 1, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, AS Nancy-Lorraine, 4, 1, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, OGC Nice, 1, 0, France Ligue 1
Valenciennes FC, Valenciennes FC, LOSC Lille, 2, 0, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, SM Caen, 2, 1, France Ligue 1
Le Havre AC, Le Havre AC, FC Sochaux-Montbéliard, 2, 1, France Ligue 1
LOSC Lille, LOSC Lille, Olympique Lyonnais, 2, 0, France Ligue 1
FC Lorient, FC Lorient, Paris Saint-Germain, 0, 1, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Valenciennes FC, 0, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, Le Mans FC, 2, 2, France Ligue 1
OGC Nice, OGC Nice, AS Monaco, 0, 0, France Ligue 1
Stade Rennais FC, Stade Rennais FC, AJ Auxerre, 2, 0, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, FC Nantes, 2, 1, France Ligue 1
Toulouse FC, Toulouse FC, Girondins de Bordeaux, 3, 0, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, OGC Nice, 2, 1, France Ligue 1
SM Caen, SM Caen, LOSC Lille, 0, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, AS Saint-Étienne, 1, 0, France Ligue 1
Le Mans FC, Le Mans FC, Stade Rennais FC, 2, 2, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, AJ Auxerre, 0, 2, France Ligue 1
AS Monaco, AS Monaco, Toulouse FC, 3, 2, France Ligue 1
FC Nantes, FC Nantes, FC Lorient, 1, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, Olympique de Marseille, 1, 3, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, AS Nancy-Lorraine, 2, 1, France Ligue 1
Valenciennes FC, Valenciennes FC, Le Havre AC, 3, 2, France Ligue 1
AJ Auxerre, AJ Auxerre, Le Mans FC, 2, 0, France Ligue 1
Le Havre AC, Le Havre AC, Girondins de Bordeaux, 0, 3, France Ligue 1
LOSC Lille, LOSC Lille, Grenoble Foot 38, 2, 1, France Ligue 1
FC Lorient, FC Lorient, AS Saint-Étienne, 3, 1, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, FC Sochaux-Montbéliard, 2, 0, France Ligue 1
Olympique de Marseille, Olympique de Marseille, FC Nantes, 2, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, AS Monaco, 0, 1, France Ligue 1
OGC Nice, OGC Nice, SM Caen, 2, 2, France Ligue 1
Stade Rennais FC, Stade Rennais FC, Valenciennes FC, 0, 0, France Ligue 1
Toulouse FC, Toulouse FC, Paris Saint-Germain, 4, 1, France Ligue 1
AJ Auxerre, AJ Auxerre, OGC Nice, 0, 1, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, FC Nantes, 2, 0, France Ligue 1
Le Havre AC, Le Havre AC, Olympique de Marseille, 0, 1, France Ligue 1
Le Mans FC, Le Mans FC, AS Saint-Étienne, 1, 0, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Grenoble Foot 38, 2, 0, France Ligue 1
AS Monaco, AS Monaco, SM Caen, 1, 1, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, Toulouse FC, 0, 0, France Ligue 1
Stade Rennais FC, Stade Rennais FC, LOSC Lille, 2, 1, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Paris Saint-Germain, 1, 1, France Ligue 1
Valenciennes FC, Valenciennes FC, FC Lorient, 3, 1, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, AS Nancy-Lorraine, 1, 0, France Ligue 1
SM Caen, SM Caen, Toulouse FC, 0, 0, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, FC Lorient, 1, 3, France Ligue 1
Le Mans FC, Le Mans FC, Olympique Lyonnais, 1, 3, France Ligue 1
AS Monaco, AS Monaco, Le Havre AC, 0, 1, France Ligue 1
FC Nantes, FC Nantes, LOSC Lille, 0, 2, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, OGC Nice, 2, 1, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, Olympique de Marseille, 0, 3, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Stade Rennais FC, 3, 0, France Ligue 1
Valenciennes FC, Valenciennes FC, AJ Auxerre, 2, 0, France Ligue 1
AJ Auxerre, AJ Auxerre, Girondins de Bordeaux, 0, 2, France Ligue 1
Le Havre AC, Le Havre AC, SM Caen, 1, 2, France Ligue 1
Le Mans FC, Le Mans FC, FC Sochaux-Montbéliard, 2, 0, France Ligue 1
LOSC Lille, LOSC Lille, Paris Saint-Germain, 0, 0, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, AS Monaco, 2, 2, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Grenoble Foot 38, 4, 1, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, Valenciennes FC, 2, 0, France Ligue 1
OGC Nice, OGC Nice, FC Lorient, 2, 0, France Ligue 1
Stade Rennais FC, Stade Rennais FC, AS Saint-Étienne, 1, 0, France Ligue 1
Toulouse FC, Toulouse FC, FC Nantes, 1, 0, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, Olympique Lyonnais, 1, 0, France Ligue 1
SM Caen, SM Caen, AS Nancy-Lorraine, 1, 2, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, Toulouse FC, 1, 0, France Ligue 1
FC Lorient, FC Lorient, Olympique de Marseille, 1, 2, France Ligue 1
AS Monaco, AS Monaco, Stade Rennais FC, 3, 1, France Ligue 1
FC Nantes, FC Nantes, OGC Nice, 2, 0, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, Le Havre AC, 3, 0, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, LOSC Lille, 2, 1, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, AJ Auxerre, 0, 1, France Ligue 1
Valenciennes FC, Valenciennes FC, Le Mans FC, 0, 2, France Ligue 1
AJ Auxerre, AJ Auxerre, SM Caen, 2, 1, France Ligue 1
Le Havre AC, Le Havre AC, Grenoble Foot 38, 0, 1, France Ligue 1
Le Mans FC, Le Mans FC, AS Monaco, 0, 1, France Ligue 1
LOSC Lille, LOSC Lille, Olympique de Marseille, 1, 2, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, Paris Saint-Germain, 0, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, FC Nantes, 2, 0, France Ligue 1
OGC Nice, OGC Nice, AS Saint-Étienne, 3, 1, France Ligue 1
Stade Rennais FC, Stade Rennais FC, Girondins de Bordeaux, 2, 3, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, Valenciennes FC, 1, 1, France Ligue 1
Toulouse FC, Toulouse FC, FC Lorient, 1, 1, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, FC Sochaux-Montbéliard, 3, 0, France Ligue 1
SM Caen, SM Caen, Le Mans FC, 3, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, OGC Nice, 0, 0, France Ligue 1
FC Lorient, FC Lorient, LOSC Lille, 3, 1, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Toulouse FC, 2, 2, France Ligue 1
AS Monaco, AS Monaco, AJ Auxerre, 0, 1, France Ligue 1
FC Nantes, FC Nantes, Le Havre AC, 1, 2, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, Stade Rennais FC, 0, 1, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, AS Nancy-Lorraine, 0, 0, France Ligue 1
Valenciennes FC, Valenciennes FC, Olympique Lyonnais, 2, 0, France Ligue 1
AJ Auxerre, AJ Auxerre, Grenoble Foot 38, 2, 0, France Ligue 1
Le Havre AC, Le Havre AC, AS Saint-Étienne, 2, 4, France Ligue 1
Le Mans FC, Le Mans FC, Paris Saint-Germain, 0, 1, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, FC Nantes, 3, 0, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, FC Lorient, 2, 2, France Ligue 1
OGC Nice, OGC Nice, Olympique de Marseille, 0, 2, France Ligue 1
Stade Rennais FC, Stade Rennais FC, SM Caen, 1, 0, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, AS Monaco, 3, 0, France Ligue 1
Toulouse FC, Toulouse FC, LOSC Lille, 0, 0, France Ligue 1
Valenciennes FC, Valenciennes FC, Girondins de Bordeaux, 1, 2, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, Le Mans FC, 3, 2, France Ligue 1
SM Caen, SM Caen, FC Sochaux-Montbéliard, 2, 0, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, AS Nancy-Lorraine, 0, 0, France Ligue 1
LOSC Lille, LOSC Lille, OGC Nice, 1, 1, France Ligue 1
FC Lorient, FC Lorient, Le Havre AC, 1, 1, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Olympique Lyonnais, 1, 3, France Ligue 1
AS Monaco, AS Monaco, Valenciennes FC, 1, 1, France Ligue 1
FC Nantes, FC Nantes, Stade Rennais FC, 1, 1, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, AJ Auxerre, 1, 2, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, Toulouse FC, 2, 2, France Ligue 1
AJ Auxerre, AJ Auxerre, AS Saint-Étienne, 1, 0, France Ligue 1
Girondins de Bordeaux, Girondins de Bordeaux, AS Monaco, 1, 0, France Ligue 1
Le Havre AC, Le Havre AC, LOSC Lille, 0, 1, France Ligue 1
Le Mans FC, Le Mans FC, Grenoble Foot 38, 1, 1, France Ligue 1
Olympique Lyonnais, Olympique Lyonnais, SM Caen, 3, 1, France Ligue 1
AS Nancy-Lorraine, AS Nancy-Lorraine, Olympique de Marseille, 1, 2, France Ligue 1
OGC Nice, OGC Nice, Toulouse FC, 0, 2, France Ligue 1
Stade Rennais FC, Stade Rennais FC, FC Lorient, 3, 1, France Ligue 1
FC Sochaux-Montbéliard, FC Sochaux-Montbéliard, FC Nantes, 2, 1, France Ligue 1
Valenciennes FC, Valenciennes FC, Paris Saint-Germain, 2, 1, France Ligue 1
SM Caen, SM Caen, Girondins de Bordeaux, 0, 1, France Ligue 1
Grenoble Foot 38, Grenoble Foot 38, FC Sochaux-Montbéliard, 0, 1, France Ligue 1
LOSC Lille, LOSC Lille, AS Nancy-Lorraine, 3, 2, France Ligue 1
FC Lorient, FC Lorient, Le Mans FC, 1, 1, France Ligue 1
Olympique de Marseille, Olympique de Marseille, Stade Rennais FC, 4, 0, France Ligue 1
FC Nantes, FC Nantes, AJ Auxerre, 2, 1, France Ligue 1
OGC Nice, OGC Nice, Le Havre AC, 0, 0, France Ligue 1
Paris Saint-Germain, Paris Saint-Germain, AS Monaco, 0, 0, France Ligue 1
AS Saint-Étienne, AS Saint-Étienne, Valenciennes FC, 4, 0, France Ligue 1
Toulouse FC, Toulouse FC, Olympique Lyonnais, 0, 0, France Ligue 1
SM Caen, SM Caen, Paris Saint-Germain, 0, 1, France Ligue 1
